Elapsed Seconds,Layer Architecture,Beta,Learning Rate,Momentum,Error Epsilon,Iterations,Accuracy
1.2622661590576172,"[35, 5, 1]",1,0.2,0.8,0.001,5910,1.0
1.2056849002838135,"[35, 5, 1]",1,0.2,0.8,0.001,4702,1.0
1.5739243030548096,"[35, 5, 1]",1,0.2,0.8,0.001,6201,1.0
0.6847820281982422,"[35, 5, 1]",1,0.2,0.8,0.001,4308,1.0
0.5804638862609863,"[35, 5, 1]",1,0.2,0.8,0.001,3987,1.0
0.9283421039581299,"[35, 5, 1]",1,0.2,0.8,0.001,6409,1.0
0.8737571239471436,"[35, 5, 1]",1,0.2,0.8,0.001,5583,1.0
0.7860920429229736,"[35, 5, 1]",1,0.2,0.8,0.001,5464,1.0
0.8367640972137451,"[35, 5, 1]",1,0.2,0.8,0.001,5728,1.0
0.7815098762512207,"[35, 5, 1]",1,0.2,0.8,0.001,5418,1.0
0.3325612545013428,"[35, 5, 1]",1,0.5,0.8,0.001,2215,1.0
0.32533907890319824,"[35, 5, 1]",1,0.5,0.8,0.001,1632,1.0
0.2509889602661133,"[35, 5, 1]",1,0.5,0.8,0.001,1605,1.0
0.30525898933410645,"[35, 5, 1]",1,0.5,0.8,0.001,2053,1.0
0.37595701217651367,"[35, 5, 1]",1,0.5,0.8,0.001,2418,1.0
0.2844109535217285,"[35, 5, 1]",1,0.5,0.8,0.001,1917,1.0
0.6281352043151855,"[35, 5, 1]",1,0.5,0.8,0.001,4315,1.0
0.39476466178894043,"[35, 5, 1]",1,0.5,0.8,0.001,2729,1.0
0.3777291774749756,"[35, 5, 1]",1,0.5,0.8,0.001,2505,1.0
0.2617042064666748,"[35, 5, 1]",1,0.5,0.8,0.001,1790,1.0
0.15011286735534668,"[35, 5, 1]",1,1,0.8,0.001,948,1.0
0.14681792259216309,"[35, 5, 1]",1,1,0.8,0.001,979,1.0
0.1416311264038086,"[35, 5, 1]",1,1,0.8,0.001,912,1.0
0.1668999195098877,"[35, 5, 1]",1,1,0.8,0.001,1029,1.0
0.1852130889892578,"[35, 5, 1]",1,1,0.8,0.001,1130,1.0
0.13985729217529297,"[35, 5, 1]",1,1,0.8,0.001,931,1.0
0.18031001091003418,"[35, 5, 1]",1,1,0.8,0.001,1201,1.0
0.28356003761291504,"[35, 5, 1]",1,1,0.8,0.001,1824,1.0
0.21161127090454102,"[35, 5, 1]",1,1,0.8,0.001,1188,1.0
0.15491199493408203,"[35, 5, 1]",1,1,0.8,0.001,748,1.0
0.18555474281311035,"[35, 5, 1]",1,2,0.5,0.001,1165,1.0
0.26835012435913086,"[35, 5, 1]",1,2,0.5,0.001,1813,1.0
0.2442188262939453,"[35, 5, 1]",1,2,0.5,0.001,1570,1.0
0.2300739288330078,"[35, 5, 1]",1,2,0.5,0.001,1535,1.0
0.2765169143676758,"[35, 5, 1]",1,2,0.5,0.001,1346,1.0
0.26851797103881836,"[35, 5, 1]",1,2,0.5,0.001,1573,1.0
0.23646116256713867,"[35, 5, 1]",1,2,0.5,0.001,1343,1.0
0.20386409759521484,"[35, 5, 1]",1,2,0.5,0.001,1173,1.0
0.24851107597351074,"[35, 5, 1]",1,2,0.5,0.001,1441,1.0
0.21012091636657715,"[35, 5, 1]",1,2,0.5,0.001,1213,1.0
8.497666835784912,"[35, 5, 1]",1,2,0.9,0.001,48538,1.0
0.028712749481201172,"[35, 5, 1]",1,2,0.9,0.001,178,1.0
11.898116111755371,"[35, 5, 1]",1,2,0.9,0.001,50000,0.9
0.3187110424041748,"[35, 5, 1]",1,2,0.9,0.001,934,1.0
3.633530855178833,"[35, 5, 1]",1,2,0.9,0.001,20993,1.0
9.716498851776123,"[35, 5, 1]",1,2,0.9,0.001,50000,0.6
0.04163980484008789,"[35, 5, 1]",1,2,0.9,0.001,262,1.0
0.05769205093383789,"[35, 5, 1]",1,2,0.9,0.001,247,1.0
12.076541900634766,"[35, 5, 1]",1,2,0.9,0.001,50000,0.5
0.43206191062927246,"[35, 5, 1]",1,2,0.9,0.001,2327,1.0
8.7255380153656,"[35, 5, 1]",1,2,0.99,0.001,50000,0.7
12.046895980834961,"[35, 5, 1]",1,2,0.99,0.001,50000,0.5
9.27918004989624,"[35, 5, 1]",1,2,0.99,0.001,50000,0.7
9.100579977035522,"[35, 5, 1]",1,2,0.99,0.001,50000,0.5
9.494992017745972,"[35, 5, 1]",1,2,0.99,0.001,50000,0.5
0.017899036407470703,"[35, 5, 1]",1,2,0.99,0.001,105,1.0
9.034630298614502,"[35, 5, 1]",1,2,0.99,0.001,50000,0.5
8.533241033554077,"[35, 5, 1]",1,2,0.99,0.001,50000,0.5
11.146176099777222,"[35, 5, 1]",1,2,0.99,0.001,50000,0.8
9.146862268447876,"[35, 5, 1]",1,2,0.99,0.001,50000,0.5
