Elapsed Seconds,Layer Architecture,Beta,Learning Rate,Momentum,Error Epsilon,Iterations,Training Accuracy,Testing Accuracy
0.31451916694641113,"[35, 10]",1,0.02,0.9,0.1,210,"[0.2, 0.1, 0.3, 0.5, 0.5, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.7, 0.7, 0.7, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.125, 0.1, 0.15, 0.45, 0.375, 0.575, 0.55, 0.5750000000000001, 0.575, 0.575, 0.575, 0.6, 0.6749999999999999, 0.625, 0.6499999999999999, 0.7, 0.675, 0.675, 0.7, 0.7249999999999999, 0.7749999999999999, 0.7249999999999999, 0.8, 0.8, 0.825, 0.8, 0.85, 0.7250000000000001, 0.825, 0.7999999999999999, 0.875, 0.825, 0.9, 0.8, 0.875, 0.825, 0.8500000000000001, 0.875, 0.85, 0.9249999999999999, 0.9249999999999999, 0.8999999999999999, 0.9249999999999999, 0.9249999999999999, 0.9, 0.9, 0.95, 0.875, 1.0, 0.9, 0.9249999999999999, 0.95, 0.95, 0.9249999999999999, 1.0, 0.9249999999999999, 0.95, 0.95, 1.0, 0.975, 0.975, 0.975, 0.975, 0.975, 1.0, 0.925, 0.975, 0.975, 0.9249999999999999, 1.0, 0.975, 0.975, 1.0, 1.0, 1.0, 0.95, 0.975, 1.0, 0.925, 1.0, 0.975, 1.0, 0.95, 0.975, 0.975, 0.95, 1.0, 0.975, 0.975, 1.0, 1.0, 0.975, 0.95, 1.0, 1.0, 1.0, 1.0, 0.975, 0.95, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.975, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.975, 1.0, 0.975, 0.975, 0.975, 0.975, 1.0, 1.0, 0.975, 1.0, 1.0, 1.0, 1.0, 1.0, 0.95, 1.0, 0.95, 1.0, 0.975, 1.0, 1.0, 1.0, 1.0, 0.975, 1.0, 0.975, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.975, 1.0, 0.975, 1.0, 1.0, 0.975, 1.0, 0.975, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.975, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.975, 1.0, 1.0, 1.0, 1.0, 0.975, 1.0, 0.975, 0.975, 0.975, 1.0, 1.0, 1.0, 1.0, 1.0, 0.95, 0.975, 1.0, 0.975, 0.975, 1.0, 1.0, 0.975, 1.0, 1.0, 1.0, 1.0, 1.0, 0.975, 1.0, 1.0, 1.0, 0.95, 1.0, 1.0, 0.95, 1.0, 1.0]"
0.32143306732177734,"[35, 10]",1,0.02,0.9,0.1,222,"[0.1, 0.1, 0.2, 0.3, 0.3, 0.3, 0.3, 0.4, 0.4, 0.5, 0.5, 0.6, 0.6, 0.6, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.1, 0.15, 0.175, 0.25, 0.325, 0.325, 0.325, 0.35, 0.4, 0.4, 0.5, 0.4, 0.5, 0.525, 0.575, 0.625, 0.675, 0.625, 0.7000000000000001, 0.6499999999999999, 0.75, 0.6749999999999999, 0.8, 0.7749999999999999, 0.7250000000000001, 0.7749999999999999, 0.7749999999999999, 0.8, 0.7249999999999999, 0.75, 0.7749999999999999, 0.7749999999999999, 0.8, 0.7749999999999999, 0.8, 0.8, 0.8, 0.8, 0.8, 0.7750000000000001, 0.8, 0.8, 0.8, 0.7749999999999999, 0.8250000000000001, 0.8500000000000001, 0.875, 0.875, 0.825, 0.825, 0.9, 0.9, 0.9, 0.875, 0.8500000000000001, 0.9, 0.9, 0.875, 0.9, 0.875, 0.875, 0.9, 0.875, 0.9, 0.9, 0.9, 0.875, 0.9, 0.9, 0.9249999999999999, 0.9249999999999999, 0.925, 0.925, 0.9, 0.975, 0.925, 0.975, 1.0, 1.0, 0.95, 0.95, 1.0, 0.975, 0.975, 0.975, 0.975, 0.95, 0.975, 0.95, 1.0, 0.975, 0.975, 0.975, 0.975, 1.0, 1.0, 0.975, 1.0, 0.975, 0.975, 0.975, 1.0, 0.975, 1.0, 1.0, 1.0, 1.0, 0.975, 0.975, 1.0, 0.975, 0.975, 0.975, 1.0, 1.0, 0.975, 0.975, 1.0, 1.0, 1.0, 1.0, 1.0, 0.975, 0.975, 0.975, 1.0, 1.0, 1.0, 1.0, 0.975, 0.975, 0.975, 1.0, 1.0, 1.0, 0.975, 0.975, 1.0, 0.975, 1.0, 0.975, 1.0, 1.0, 1.0, 0.975, 0.975, 0.975, 1.0, 1.0, 1.0, 1.0, 0.975, 0.975, 0.975, 1.0, 1.0, 0.9249999999999999, 1.0, 1.0, 1.0, 0.95, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.975, 1.0, 1.0, 0.975, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.975, 1.0, 1.0, 1.0, 1.0, 0.975, 1.0, 0.975, 0.975, 1.0, 0.975, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.975, 1.0, 1.0, 0.975, 1.0, 1.0, 1.0, 1.0]"
0.31661295890808105,"[35, 10]",1,0.02,0.9,0.1,217,"[0.2, 0.3, 0.4, 0.4, 0.5, 0.6, 0.6, 0.6, 0.6, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.9, 0.8, 0.9, 0.9, 0.9, 0.9, 0.9, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.17500000000000002, 0.25, 0.325, 0.35, 0.5, 0.525, 0.5, 0.55, 0.475, 0.6, 0.6, 0.7, 0.6499999999999999, 0.6499999999999999, 0.6749999999999999, 0.7, 0.7749999999999999, 0.75, 0.8, 0.7749999999999999, 0.7749999999999999, 0.75, 0.7749999999999999, 0.7749999999999999, 0.75, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.7749999999999999, 0.8, 0.8250000000000001, 0.7749999999999999, 0.7749999999999999, 0.8, 0.825, 0.8, 0.7749999999999999, 0.825, 0.8, 0.7749999999999999, 0.875, 0.825, 0.9249999999999999, 0.875, 0.8250000000000001, 0.875, 0.875, 0.875, 0.875, 0.9249999999999999, 0.9, 0.975, 0.975, 1.0, 0.975, 0.9249999999999999, 0.975, 0.95, 0.975, 0.95, 0.975, 0.95, 1.0, 0.9249999999999999, 1.0, 0.975, 0.95, 0.95, 0.975, 1.0, 0.95, 0.95, 1.0, 0.975, 1.0, 0.975, 0.975, 1.0, 1.0, 1.0, 0.975, 1.0, 0.95, 0.975, 0.975, 0.975, 1.0, 0.975, 1.0, 1.0, 0.95, 1.0, 1.0, 0.95, 0.975, 1.0, 1.0, 0.95, 0.975, 1.0, 0.975, 0.975, 1.0, 0.975, 1.0, 0.975, 1.0, 1.0, 1.0, 0.975, 1.0, 1.0, 0.975, 0.975, 1.0, 1.0, 1.0, 1.0, 0.975, 1.0, 1.0, 1.0, 0.975, 1.0, 0.975, 1.0, 1.0, 1.0, 1.0, 0.975, 1.0, 1.0, 1.0, 1.0, 0.975, 1.0, 1.0, 1.0, 1.0, 0.975, 1.0, 1.0, 0.975, 0.975, 1.0, 0.975, 0.975, 0.975, 1.0, 0.975, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.975, 1.0, 1.0, 1.0, 1.0, 1.0, 0.975, 0.975, 1.0, 0.975, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.95, 0.975, 0.975, 1.0, 1.0, 1.0, 1.0, 1.0, 0.975, 0.975, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.975, 1.0, 1.0, 0.975, 1.0, 0.975, 0.975, 1.0, 0.975, 1.0, 1.0, 0.95, 0.975, 1.0, 1.0, 1.0, 1.0]"
0.3137831687927246,"[35, 10]",1,0.02,0.9,0.1,222,"[0.1, 0.1, 0.3, 0.3, 0.4, 0.6, 0.5, 0.5, 0.7, 0.7, 0.7, 0.7, 0.7, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.125, 0.1, 0.15000000000000002, 0.1, 0.275, 0.30000000000000004, 0.425, 0.47500000000000003, 0.5, 0.6, 0.6, 0.55, 0.6499999999999999, 0.7000000000000001, 0.7249999999999999, 0.7250000000000001, 0.7249999999999999, 0.75, 0.75, 0.75, 0.75, 0.8500000000000001, 0.85, 0.7750000000000001, 0.825, 0.8500000000000001, 0.825, 0.9, 0.875, 0.875, 0.875, 0.875, 0.875, 0.9, 0.8500000000000001, 0.9, 0.9, 0.875, 0.8500000000000001, 0.875, 0.9, 0.875, 0.9, 0.9, 0.875, 0.8500000000000001, 0.9, 0.875, 0.9, 0.9, 0.9, 0.9, 0.875, 0.9, 0.9, 0.875, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.875, 0.875, 0.9, 0.875, 0.9, 0.9, 0.9, 0.875, 0.9, 0.875, 0.9, 0.9, 0.9249999999999999, 0.9, 0.9249999999999999, 0.9, 0.9249999999999999, 0.9, 0.9, 0.9, 0.9, 0.95, 0.9, 0.9, 0.95, 0.875, 0.95, 1.0, 0.975, 0.975, 0.975, 0.95, 0.925, 0.925, 0.95, 1.0, 0.975, 0.95, 0.975, 0.9, 1.0, 0.975, 0.95, 0.975, 0.975, 0.95, 0.975, 0.975, 1.0, 1.0, 1.0, 1.0, 0.975, 1.0, 1.0, 1.0, 1.0, 0.95, 0.975, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.975, 1.0, 1.0, 1.0, 0.975, 0.975, 1.0, 1.0, 1.0, 1.0, 1.0, 0.95, 0.975, 0.975, 0.975, 1.0, 1.0, 0.95, 0.975, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.975, 1.0, 0.95, 1.0, 1.0, 1.0, 0.975, 1.0, 1.0, 1.0, 1.0, 1.0, 0.975, 1.0, 0.95, 1.0, 1.0, 1.0, 0.975, 1.0, 1.0, 0.975, 1.0, 1.0, 1.0, 1.0, 0.975, 1.0, 1.0, 1.0, 0.975, 1.0, 1.0, 1.0, 1.0, 0.95, 1.0, 0.975, 1.0, 1.0, 0.975, 1.0, 0.975, 1.0, 0.975, 1.0, 1.0, 1.0, 1.0, 0.95, 1.0, 1.0, 0.975, 0.95, 0.975, 1.0, 1.0, 0.975, 1.0, 1.0, 1.0, 1.0, 1.0, 0.95, 0.975, 1.0, 1.0, 1.0, 1.0]"
0.5505080223083496,"[35, 10]",1,0.02,0.9,0.1,244,"[0.1, 0.1, 0.1, 0.2, 0.3, 0.4, 0.5, 0.5, 0.5, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.8, 0.8, 0.8, 0.8, 0.8, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 1.0, 0.9, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.1, 0.1, 0.125, 0.19999999999999998, 0.22500000000000003, 0.325, 0.275, 0.4, 0.425, 0.475, 0.5750000000000001, 0.55, 0.575, 0.55, 0.625, 0.65, 0.6, 0.6499999999999999, 0.7249999999999999, 0.6499999999999999, 0.625, 0.7250000000000001, 0.6499999999999999, 0.6749999999999999, 0.625, 0.6749999999999999, 0.725, 0.8, 0.8250000000000001, 0.8250000000000001, 0.85, 0.9, 0.9, 0.9, 0.825, 0.9, 0.9, 0.875, 0.85, 0.9, 0.85, 0.8500000000000001, 0.9, 0.875, 0.875, 0.875, 0.875, 0.9, 0.875, 0.9, 0.875, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.8500000000000001, 0.9, 0.9, 0.9, 0.875, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.875, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9249999999999999, 0.9, 0.9, 0.9249999999999999, 0.9, 0.9, 0.9, 0.9249999999999999, 0.925, 0.9249999999999999, 0.9249999999999999, 0.9, 0.95, 0.95, 0.9249999999999999, 1.0, 0.925, 0.95, 0.95, 0.975, 0.95, 1.0, 1.0, 1.0, 0.925, 0.975, 0.9249999999999999, 1.0, 1.0, 1.0, 1.0, 1.0, 0.975, 1.0, 0.975, 1.0, 0.975, 0.925, 1.0, 0.975, 0.975, 1.0, 0.975, 0.975, 0.975, 0.975, 0.975, 0.975, 1.0, 1.0, 0.975, 0.95, 1.0, 1.0, 1.0, 1.0, 0.975, 0.975, 1.0, 0.975, 1.0, 0.975, 1.0, 1.0, 1.0, 0.975, 0.975, 0.975, 1.0, 1.0, 1.0, 0.975, 0.975, 1.0, 1.0, 0.95, 0.975, 1.0, 1.0, 0.95, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.975, 1.0, 1.0, 1.0, 1.0, 1.0, 0.975, 1.0, 0.975, 1.0, 1.0, 1.0, 1.0, 0.975, 1.0, 0.975, 0.975, 0.975, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.975, 1.0, 1.0, 1.0, 1.0, 0.975, 1.0, 0.975, 1.0, 1.0, 0.975, 1.0, 1.0, 1.0, 0.975, 1.0, 1.0, 0.975, 0.975, 1.0, 1.0, 1.0, 1.0, 0.975, 1.0, 1.0, 1.0, 0.975, 0.975, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.95, 1.0]"
