Linear Train Accuracy,Nonlinear Train Accuracy,Linear Test Accuracy,Nonlinear Test Accuracy
1.0,0.7368421052631579,1.0,1.0
1.0,0.8421052631578947,1.0,0.7777777777777778
1.0,0.8421052631578947,1.0,0.7777777777777778
1.0,0.7368421052631579,1.0,1.0
1.0,0.631578947368421,0.6666666666666666,0.4444444444444444
1.0,0.9473684210526315,1.0,1.0
1.0,1.0,0.8888888888888888,0.7777777777777778
1.0,0.8947368421052632,1.0,1.0
1.0,1.0,0.7777777777777778,0.7777777777777778
1.0,1.0,0.7777777777777778,0.7777777777777778
1.0,1.0,0.8888888888888888,0.8888888888888888
1.0,0.9473684210526315,1.0,1.0
1.0,1.0,0.8888888888888888,0.8888888888888888
1.0,1.0,0.8888888888888888,0.8888888888888888
1.0,0.5789473684210527,1.0,0.4444444444444444
1.0,1.0,0.8888888888888888,0.8888888888888888
1.0,1.0,0.8888888888888888,0.8888888888888888
1.0,1.0,0.7777777777777778,0.7777777777777778
1.0,0.7894736842105263,0.8888888888888888,0.7777777777777778
1.0,0.8947368421052632,0.8888888888888888,1.0
1.0,1.0,0.8888888888888888,0.8888888888888888
1.0,1.0,0.8888888888888888,0.8888888888888888
1.0,0.8421052631578947,0.8888888888888888,0.7777777777777778
1.0,0.8947368421052632,0.8888888888888888,0.7777777777777778
1.0,1.0,0.8888888888888888,0.8888888888888888
