Linear Train Accuracy,Nonlinear Train Accuracy,Linear Test Accuracy,Nonlinear Test Accuracy
1.0,0.6363636363636364,1.0,0.8333333333333334
1.0,0.8181818181818182,1.0,1.0
1.0,0.8636363636363636,0.8333333333333334,0.8333333333333334
1.0,0.9090909090909091,1.0,1.0
1.0,1.0,0.8333333333333334,0.8333333333333334
1.0,0.8181818181818182,1.0,0.8333333333333334
1.0,0.6363636363636364,0.8333333333333334,0.3333333333333333
1.0,0.6818181818181818,1.0,0.8333333333333334
1.0,1.0,0.8333333333333334,0.8333333333333334
1.0,1.0,0.6666666666666666,0.6666666666666666
